title,link,description,ministry,scraped_at,source
HealthCheck-up (A.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/hc-uabocwwb,"Registered construction workers having continuous membership of the Board can avail an amount of ₹5,000/- once in a year for his/ her annual health checkup in any Hospital.",Assam,2025-07-09 04:45:58,MyScheme Portal
EmployeeHealthScheme,https://www.myscheme.gov.in/schemes/ehsap,"The Employee Health Scheme (EHS) is a government-run health scheme in Andhra Pradesh, providing cashless treatment at network hospitals for government employees, pensioners, and their families under the Dr. YSR Aarogyasri Health care Trust.",Andhra Pradesh,2025-07-09 04:45:58,MyScheme Portal
TotalHealthCheck-up Scheme (GBOCWWB),https://www.myscheme.gov.in/schemes/thcsgbocwwb,"This scheme facilitates a complete physical examination of the construction workers, which can diagnose potential illnesses and early treatment can prevent major illnesses. Hence, major illness can be avoided and the construction worker can lead a health y life.",Gujarat,2025-07-09 04:45:58,MyScheme Portal
LivestockHealthand Diseases Control,https://www.myscheme.gov.in/schemes/lhadc,"The Livestock Health and Diseases Control (LH&DC) scheme is a Centrally Sponsored Scheme (CSS) implemented by the Department of Animal Husbandry and Dairying (DAHD), Ministry of Agriculture and Farmers' Welfare, Government of India.","Ministry of Fisheries,Animal Husbandry and Dairying",2025-07-09 04:45:58,MyScheme Portal
RKVY SoilHealthand Fertility - SoilHealthCard,https://www.myscheme.gov.in/schemes/rkvyshfshc,"Soil Health Card is designed to give each farmer soil nutrient status of his/her holding and advice him/her on the dosage of fertilizers and also the needed soil amendments, that s/he should apply to maintain soil health in the long run.",Ministry Of Agriculture and Farmers Welfare,2025-07-09 04:45:58,MyScheme Portal
SpecialHealthScheme for Primitive Tribes,https://www.myscheme.gov.in/schemes/shspt,"The ""Special Health Scheme for Primitive Tribes"" scheme by the Welfare Department, Government of Jharkhand, aims to improve health care services for primitive tribal communities. Financial assistance of ₹38,41,632 is provided for targeted health care benefits.",Jharkhand,2025-07-09 04:45:58,MyScheme Portal
Rural Sports andHealthPromotion Scheme,https://www.myscheme.gov.in/schemes/rsahps,The scheme promotes fitness among rural youth by providing financial assistance to the mangal dals for setting up open gyms in each Gram Panchayat.,Uttarakhand,2025-07-09 04:45:58,MyScheme Portal
Tripura JournalistHealthInsurance Scheme,https://www.myscheme.gov.in/schemes/tjhis,"A Health Insurance Scheme by the Directorate of Information & Culture Affairs, for Journalists who are permanent residents of the state of Tripura. The applicant must be an accredited journalist by the state government or PIB. The age must be in between 21-65 years.",Tripura,2025-07-09 04:45:58,MyScheme Portal
Chief Minister’sHealthInsurance Scheme - Nagaland,https://www.myscheme.gov.in/schemes/cmhisn,"Launched on 16th October 2022, the scheme ""Chief Minister Health Insurance Scheme (CMHIS)"" is a Public Health Insurance Scheme by the Health and Family Welfare Department, Government of Nagaland. This scheme provides cashless treatment up to ₹20 lakhs for employees and pensioners and ₹5 lakhs.",Nagaland,2025-07-09 04:45:58,MyScheme Portal
Andaman & Nicobar Islands Scheme forHealthInsurance,https://www.myscheme.gov.in/schemes/anishi,The Health Insurance (ANISHI) shall provide cashless treatment upto Rupees 5 Lakhs per patients per illness which include indoor and outdoor treatments.,Andaman and Nicobar Islands,2025-07-09 04:45:58,MyScheme Portal
